WikidataOrg,Organisation,WikidataTalare,TalareString,Title,Start,WikidataSubject,GITHUB,Datum,Agenda,Slides,Url video av presentationen
https://www.wikidata.org/wiki/Q504994,Sundsvalls kommun,,Jari Koponen,Open by default inom offentlig verksamhet,,Q16584519,,2022-02-01,https://www.goto10.se/event/nosad/,,https://data.jobtechdev.se/videos/nosad-20220201-open-by-default-3840x2160.mp4
https://www.wikidata.org/wiki/Q10685908,Sveriges Kommuner och Regioner (SKR),,Caspar Almalander,Förvaltning öppna data,29:40:00,Q309901,,,,,https://data.jobtechdev.se/videos/nosad-20201103-forvaltning-och-ansvar-3440x1440.mp4
https://www.wikidata.org/wiki/Q215363,SVT,,,Open by default inom offentlig verksamhet,,Q16584519,,2022-02-01,https://www.goto10.se/event/nosad/,,https://data.jobtechdev.se/videos/nosad-20220201-open-by-default-3840x2160.mp4
https://www.wikidata.org/wiki/Q215363,SVT,,,[Internetdagarna - inspelning kommer],,,,,,,
https://www.wikidata.org/wiki/Q114287776,Sydarkivera,,Elin Jonsson,eArkiv med öppen källkod,,"Q39162, Q114351452",,2012-12-07,https://www.goto10.se/event/nosad-natverkande-kring-oppna-data-och-oppen-kallkod/,,https://www.youtube-nocookie.com/embed/3Rz7a_I0NvA/
https://www.wikidata.org/wiki/Q105272239,Trafiklab,,,Samverkan öppna data inom Offentlig verksamhet,,Q309901,,,,,https://www.youtube.com/watch?v=-agLPUX5i9Q
https://www.wikidata.org/wiki/Q4579704,Tullverket,,Magnus Wåhlberg,eArkiv med öppen källkod,,"Q39162, Q114351452",,2012-12-07,https://www.goto10.se/event/nosad-natverkande-kring-oppna-data-och-oppen-kallkod/,,https://www.youtube-nocookie.com/embed/3Rz7a_I0NvA/
https://www.wikidata.org/wiki/Q114288045,Vianova,https://www.wikidata.org/wiki/Q114314811,Alex Pazuchanics,Svenska städers behov av digital infrastruktur,38:10:00,Q1047251,,,,,https://www.youtube-nocookie.com/embed/qFA3nE_mE2U/
https://www.wikidata.org/wiki/Q3563936,VTI,,Lina Nordin,Nationella datastrategin och EU:s dataområden,,,,2022-05-03,https://www.goto10.se/event/nosad-natverkande-kring-oppna-data-och-oppen-kallkod-6/,,https://data.jobtechdev.se/videos/nosad-20220503-datadriven-utveckling-nationella-datastrategin-europeiska-dataomraden_2256x1444.mp4
https://www.wikidata.org/wiki/Q26253184,Upphandlingsmyndigheten,,,Hackathons och innovationstävlingar,,,,,,,https://data.jobtechdev.se/videos/nosad-20220503-datadriven-utveckling-nationella-datastrategin-europeiska-dataomraden_2256x1444.mp4
https://www.wikidata.org/wiki/Q114288112,Wesslau Söderqvist Advokater,,Carl Gleisner,Öppen källkod som bas i den digitala allemansrätten,01:45:00,"Q39162, Q114350971",,2021-06-02,https://www.goto10.se/event/oppen-kallkod-som-en-del-av-den-digitala-allemansratten/,,https://www.youtube-nocookie.com/embed/t5S7fSPgWOc/
https://www.wikidata.org/wiki/Q15279144,Wikimedia Sverige,,,Länkade data,07:30,Q515701,,,,,https://www.youtube-nocookie.com/embed/fkgKoN0NkeM/
https://www.wikidata.org/wiki/Q10621662,PRV,,Catharina Ekdahl,Öppna licenser och immaterialrätt – hur hänger det ihop?,38:20:00,Q196294,,4 maj 2021,https://nosad.se/workshops#%C3%B6ppna-licenser-och-immaterialr%C3%A4tt,,https://www.youtube.com/watch?v=by_h0dWljqY
https://www.wikidata.org/wiki/Q56302089,DIGG (Myndigheten för Digitalisering),https://www.wikidata.org/wiki/Q114344683,Adam Panzer,Öppna licenser och immaterialrätt,13:20,Q39162,,4 maj 2021,https://nosad.se/workshops#%C3%B6ppna-licenser-och-immaterialr%C3%A4tt,,https://www.youtube.com/watch?v=by_h0dWljqY
,,,,Dialog kring efterfrågade datamängder,,Q1172284,,2022-10-11,https://www.goto10.se/event/dialog-kring-efterfragade-datamangder/,,
,,,,Affärsmodeller och leverantörsaspekter av open source,,Q39162,,2022-11-08,https://www.goto10.se/event/affarsmodeller-och-leverantorsaspekter-av-open-source/,,
,,,,Hur kan civilsamhället och offentlig sektor samarbeta kring digital information?,,,,,https://nosad.se/workshops#hur-kan-civilsamh%C3%A4llet-och-offentlig-sektor-samarbeta-kring-digital-information,,https://data.jobtechdev.se/videos/nosad-20220607-samarbeta-kring-digital-information-2736x1824.mp4
https://www.wikidata.org/wiki/Q10650489,Regeringskansliet,,Sumbat Sarkis,Regeringskansliet presenterar den nya datalagen,04:00,,,,https://nosad.se/workshops#hur-kan-civilsamh%C3%A4llet-och-offentlig-sektor-samarbeta-kring-digital-information,,https://data.jobtechdev.se/videos/nosad-20220607-samarbeta-kring-digital-information-2736x1824.mp4
https://www.wikidata.org/wiki/Q56302089,DIGG (Myndigheten för Digitalisering),,Nina Berlin,Dataportalen och dess Community-forum,00:33:00,,,,https://nosad.se/workshops#hur-kan-civilsamh%C3%A4llet-och-offentlig-sektor-samarbeta-kring-digital-information,,
,,,"Martin Törnros (Interaktiva rum), Malin Klintholm (Biblioteksutveckling Sörmland)",MIK-jam – Designa för demokrati,00:43:30,,,,https://nosad.se/workshops#hur-kan-civilsamh%C3%A4llet-och-offentlig-sektor-samarbeta-kring-digital-information,,
